step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents
0,4,0,0,0,4
1,5,0,0,0,5
2,5,2,0,0,5
3,5,2,0,0,5
4,5,2,0,0,5
5,5,2,0,0,5
6,5,2,0,0,5
7,5,2,0,0,5
8,5,3,0,0,5
9,5,3,0,0,5
10,5,3,0,0,5
11,5,3,0,0,5
12,5,3,0,0,5
13,5,3,0,0,5
14,5,3,0,0,5
15,5,3,0,0,5
16,5,3,0,0,5
17,5,4,0,0,5
18,5,5,0,0,5
19,5,5,0,0,5
20,5,5,0,0,5
21,5,5,0,0,5
22,5,5,0,0,5
23,5,5,0,0,5
24,5,6,0,0,5
25,5,6,0,0,5
26,5,6,0,0,5
27,5,6,0,0,5
28,5,6,0,0,5
29,5,6,0,0,5
30,5,6,0,0,5
31,5,6,0,0,5
32,5,6,0,0,5
33,5,6,0,0,5
34,5,6,0,0,5
35,5,6,0,0,5
36,5,7,0,0,5
37,5,7,0,0,5
38,5,7,0,0,5
39,5,7,0,0,5
40,5,7,0,0,5
41,5,7,0,0,5
42,5,7,0,0,5
43,5,7,0,0,5
44,5,7,0,0,5
45,5,7,0,0,5
46,5,7,0,0,5
47,5,7,0,0,5
48,5,7,0,0,5
49,5,7,0,0,5
50,5,7,0,0,5
51,9,7,0,0,9
52,9,7,0,0,9
53,9,7,0,0,9
54,9,7,0,0,9
55,9,8,0,0,9
56,9,8,0,0,9
57,9,8,0,0,9
58,9,8,0,0,9
59,9,8,0,0,9
60,9,8,0,0,9
61,9,8,0,0,9
62,9,8,0,0,9
63,9,8,0,0,9
64,9,8,0,0,9
65,9,8,0,0,9
66,9,9,0,0,9
67,9,9,0,0,9
68,9,9,0,0,9
69,9,9,0,0,9
70,9,9,0,0,9
71,9,9,0,0,9
72,9,9,0,0,9
73,9,9,0,0,9
74,9,9,0,0,9
75,9,9,0,0,9
76,9,9,0,0,9
77,9,9,0,0,9
78,9,9,0,0,9
79,9,9,0,0,9
80,9,9,0,0,9
81,9,9,0,0,9
82,9,9,0,0,9
83,9,9,0,0,9
84,9,9,0,0,9
85,9,9,0,0,9
86,9,9,0,0,9
87,9,9,0,0,9
88,9,9,0,0,9
89,9,9,0,0,9
90,9,9,0,0,9
91,9,9,0,0,9
92,9,9,0,0,9
93,9,9,0,0,9
94,9,9,0,0,9
95,9,9,0,0,9
96,9,9,0,0,9
97,9,9,0,0,9
98,9,9,0,0,9
99,9,9,0,0,9
100,9,9,0,0,9
101,9,9,0,0,9
102,9,9,0,0,9
103,9,9,0,0,9
104,9,9,0,0,9
105,9,9,0,0,9
106,9,9,0,0,9
107,9,9,0,0,9
108,9,9,0,0,9
109,9,9,0,0,9
110,9,9,0,0,9
111,9,9,0,0,9
112,9,9,0,0,9
113,9,9,0,0,9
114,9,9,0,0,9
115,9,9,0,0,9
116,9,9,0,0,9
117,9,9,0,0,9
118,9,10,0,0,9
119,9,10,0,0,9
120,9,10,0,0,9
121,9,12,0,0,9
122,9,12,0,0,9
123,9,12,0,0,9
124,9,12,0,0,9
125,9,12,0,0,9
