step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds,avg_infection
0,4,0,0,0,4,1996,10,0,0.00
1,7,0,0,0,7,1999,10,0,0.00
2,7,0,0,0,7,1999,10,0,0.00
3,7,0,0,0,7,1999,10,0,0.00
4,7,0,0,0,7,1999,10,0,0.00
5,7,1,0,0,7,1998,10,0,0.14
6,7,2,0,0,7,1997,10,0,0.14
7,7,4,0,0,7,1995,10,0,0.29
8,7,5,0,0,7,1994,10,0,0.14
9,7,5,0,0,7,1994,10,0,0.00
10,7,5,0,0,7,1994,10,0,0.00
11,7,5,0,0,7,1994,10,0,0.00
12,7,5,0,0,7,1994,10,0,0.00
13,7,5,0,0,7,1994,10,0,0.00
14,7,5,0,0,7,1994,10,0,0.00
15,7,5,0,0,7,1994,10,0,0.00
16,7,5,0,0,7,1994,10,0,0.00
17,7,5,0,0,7,1994,10,0,0.00
18,7,5,0,0,7,1994,10,0,0.00
19,7,5,0,0,7,1994,10,0,0.00
20,7,5,0,0,7,1994,10,0,0.00
21,7,5,0,0,7,1994,10,0,0.00
22,7,5,0,0,7,1994,10,0,0.00
23,7,5,0,0,7,1994,10,0,0.00
24,7,5,0,0,7,1994,10,0,0.00
25,7,5,0,0,7,1994,10,0,0.00
26,7,6,0,0,7,1993,10,0,0.14
27,7,6,0,0,7,1993,10,0,0.00
28,7,6,0,0,7,1993,10,0,0.00
29,7,7,0,0,7,1992,10,0,0.14
30,7,7,0,0,7,1992,10,0,0.00
31,7,7,0,0,7,1992,10,0,0.00
32,7,7,0,0,7,1992,10,0,0.00
33,7,7,0,0,7,1992,10,0,0.00
34,7,7,0,0,7,1992,10,0,0.00
35,7,7,0,0,7,1992,10,0,0.00
36,7,8,0,0,7,1991,10,0,0.14
37,7,8,0,0,7,1991,10,0,0.00
38,7,8,0,0,7,1991,10,0,0.00
39,7,8,0,0,7,1991,10,0,0.00
40,7,8,0,0,7,1991,10,0,0.00
41,7,8,0,0,7,1991,10,0,0.00
42,7,8,0,0,7,1991,10,0,0.00
43,7,9,0,0,7,1990,10,0,0.14
44,7,9,0,0,7,1990,10,0,0.00
45,7,9,0,0,7,1990,10,0,0.00
46,7,9,0,0,7,1990,10,0,0.00
47,7,9,0,0,7,1990,10,0,0.00
48,7,9,0,0,7,1990,10,0,0.00
49,7,9,0,0,7,1990,10,0,0.00
50,7,9,0,0,7,1990,10,0,0.00
51,7,9,0,0,7,1990,10,0,0.00
52,7,9,0,0,7,1990,10,0,0.00
53,7,10,0,0,7,1989,10,0,0.14
54,7,10,0,0,7,1989,10,0,0.00
55,7,10,0,0,7,1989,10,0,0.00
56,7,10,0,0,7,1989,10,0,0.00
57,7,10,0,0,7,1989,10,0,0.00
58,7,10,0,0,7,1989,10,0,0.00
59,7,11,0,0,7,1988,10,0,0.14
60,7,11,0,0,7,1988,10,0,0.00
61,7,11,0,0,7,1988,10,0,0.00
62,7,11,0,0,7,1988,10,0,0.00
63,7,11,0,0,7,1988,10,0,0.00
64,7,11,0,0,7,1988,10,0,0.00
65,7,11,0,0,7,1988,10,0,0.00
66,7,11,0,0,7,1988,10,0,0.00
67,7,11,0,0,7,1988,10,0,0.00
68,7,11,0,0,7,1988,10,0,0.00
69,7,11,0,0,7,1988,10,0,0.00
70,7,11,0,0,7,1988,10,0,0.00
71,7,11,0,0,7,1988,10,0,0.00
72,7,11,0,0,7,1988,10,0,0.00
73,7,11,0,0,7,1988,10,0,0.00
74,7,11,0,0,7,1988,10,0,0.00
75,7,11,0,0,7,1988,10,0,0.00
76,7,11,0,0,7,1988,10,0,0.00
77,7,11,0,0,7,1988,10,0,0.00
78,7,11,0,0,7,1988,10,0,0.00
79,7,11,0,0,7,1988,10,0,0.00
80,7,11,0,0,7,1988,10,0,0.00
81,7,11,0,0,7,1988,10,0,0.00
82,7,11,0,0,7,1988,10,0,0.00
83,7,11,0,0,7,1988,10,0,0.00
84,7,11,0,0,7,1988,10,0,0.00
85,7,11,0,0,7,1988,10,0,0.00
86,7,11,0,0,7,1988,10,0,0.00
87,7,11,0,0,7,1988,10,0,0.00
88,7,11,0,0,7,1988,10,0,0.00
89,7,11,0,0,7,1988,10,0,0.00
90,7,11,0,0,7,1988,10,0,0.00
91,7,11,0,0,7,1988,10,0,0.00
92,7,11,0,0,7,1988,10,0,0.00
93,7,11,0,0,7,1988,10,0,0.00
94,7,11,0,0,7,1988,10,0,0.00
95,7,11,0,0,7,1988,10,0,0.00
96,7,11,0,0,7,1988,10,0,0.00
97,7,11,0,0,7,1988,10,0,0.00
98,7,11,0,0,7,1988,10,0,0.00
99,7,11,0,0,7,1988,10,0,0.00
100,7,11,0,0,7,1988,10,0,0.00
101,11,11,0,0,11,1992,10,0,0.00
102,11,11,0,0,11,1992,10,0,0.00
103,11,11,0,0,11,1992,10,0,0.00
104,11,11,0,0,11,1992,10,0,0.00
105,11,11,0,0,11,1992,10,0,0.00
106,11,11,0,0,11,1992,10,0,0.00
107,11,11,0,0,11,1992,10,0,0.00
108,11,11,0,0,11,1992,10,0,0.00
109,11,12,0,0,11,1991,10,0,0.09
110,11,12,0,0,11,1991,10,0,0.00
111,11,12,0,0,11,1991,10,0,0.00
112,11,12,0,0,11,1991,10,0,0.00
113,11,12,0,0,11,1991,10,0,0.00
114,11,12,0,0,11,1991,10,0,0.00
115,11,12,0,0,11,1991,10,0,0.00
116,11,12,0,0,11,1991,10,0,0.00
117,11,12,0,0,11,1991,10,0,0.00
118,11,12,0,0,11,1991,10,0,0.00
119,11,12,0,0,11,1991,10,0,0.00
120,11,12,0,0,11,1991,10,0,0.00
121,11,12,0,0,11,1991,10,0,0.00
122,11,12,0,0,11,1991,10,0,0.00
123,11,12,0,0,11,1991,10,0,0.00
124,11,12,0,0,11,1991,10,0,0.00
125,11,12,0,0,11,1991,10,0,0.00
126,11,12,0,0,11,1991,10,0,0.00
127,11,12,0,0,11,1991,10,0,0.00
128,11,12,0,0,11,1991,10,0,0.00
129,12,12,0,0,11,1990,10,0,0.08
130,12,12,0,0,11,1990,10,0,0.00
131,12,13,0,0,11,1989,10,0,0.08
132,12,13,0,0,11,1989,10,0,0.00
133,12,14,0,0,11,1988,10,0,0.08
134,12,14,0,0,11,1988,10,0,0.00
135,12,14,0,0,11,1988,10,0,0.00
136,12,14,0,0,11,1988,10,0,0.00
137,12,14,0,0,11,1988,10,0,0.00
138,12,14,0,0,11,1988,10,0,0.00
139,12,14,0,0,11,1988,10,0,0.00
140,12,14,0,0,11,1988,10,0,0.00
141,12,14,0,0,11,1988,10,0,0.00
142,12,14,0,0,10,1988,10,0,0.00
143,12,14,0,0,10,1988,10,0,0.00
144,12,15,0,0,10,1987,10,0,0.08
145,12,16,0,0,10,1986,10,0,0.08
146,12,16,0,0,10,1986,10,0,0.00
147,12,16,0,0,10,1986,10,0,0.00
148,12,17,0,0,10,1985,10,0,0.08
149,12,17,0,0,10,1985,10,0,0.00
150,12,17,0,0,10,1985,10,0,0.00
151,12,17,0,0,10,1985,10,0,0.00
152,12,18,0,0,10,1984,10,0,0.08
153,12,18,0,0,10,1984,10,0,0.00
154,12,18,0,0,10,1984,10,0,0.00
155,12,19,0,0,10,1983,10,0,0.08
156,12,19,0,0,10,1983,10,0,0.00
157,12,19,0,0,10,1983,10,0,0.00
158,13,18,0,0,11,1983,10,0,0.00
159,13,19,0,0,11,1982,10,0,0.08
160,13,19,0,0,11,1982,10,0,0.00
161,13,19,0,0,11,1982,10,0,0.00
162,13,19,0,0,11,1982,10,0,0.00
163,13,19,0,0,11,1982,10,0,0.00
164,13,19,0,0,11,1982,10,0,0.00
165,13,19,0,0,11,1982,10,0,0.00
166,13,19,0,0,11,1982,10,0,0.00
167,13,19,0,0,11,1982,10,0,0.00
168,13,20,0,0,11,1981,10,0,0.08
169,13,20,0,0,11,1981,10,0,0.00
170,13,20,0,0,11,1981,10,0,0.00
171,13,20,0,0,11,1981,10,0,0.00
172,13,20,0,0,11,1981,10,0,0.00
173,13,20,0,0,11,1981,10,0,0.00
174,13,20,0,0,11,1981,10,0,0.00
175,13,20,0,0,11,1981,10,0,0.00
176,13,20,0,0,11,1981,10,0,0.00
177,13,20,0,0,11,1981,10,0,0.00
178,13,20,0,0,11,1981,10,0,0.00
179,13,20,0,0,11,1981,10,0,0.00
180,13,20,0,0,11,1981,10,0,0.00
181,13,20,0,0,11,1981,10,0,0.00
182,13,20,0,0,11,1981,10,0,0.00
183,14,19,0,0,12,1981,10,0,0.00
184,14,19,0,0,12,1981,10,0,0.00
185,14,19,0,0,12,1981,10,0,0.00
186,14,19,0,0,12,1981,10,0,0.00
187,14,19,0,0,12,1981,10,0,0.00
188,14,20,0,0,12,1980,10,0,0.07
189,14,20,0,0,12,1980,10,0,0.00
190,14,20,0,0,12,1980,10,0,0.00
191,14,20,0,0,12,1980,10,0,0.00
192,14,20,0,0,12,1980,10,0,0.00
193,14,20,0,0,12,1980,10,0,0.00
194,14,20,0,0,12,1980,10,0,0.00
195,14,20,0,0,12,1980,10,0,0.00
196,14,20,0,0,12,1980,10,0,0.00
197,14,20,0,0,12,1980,10,0,0.00
198,14,20,0,0,12,1980,10,0,0.00
199,14,20,0,0,12,1980,10,0,0.00
200,14,21,0,0,12,1979,10,0,0.07
201,15,22,0,0,13,1979,10,0,0.07
202,15,23,0,0,13,1978,10,0,0.07
203,15,23,0,0,13,1978,10,0,0.00
204,15,23,0,0,13,1978,10,0,0.00
205,15,23,0,0,13,1978,10,0,0.00
206,15,23,0,0,13,1978,10,0,0.00
207,15,23,0,0,13,1978,10,0,0.00
208,15,23,0,0,13,1978,10,0,0.00
209,15,23,0,0,13,1978,10,0,0.00
210,15,23,0,0,13,1978,10,0,0.00
211,15,23,0,0,13,1978,10,0,0.00
212,15,23,0,0,13,1978,10,0,0.00
213,15,23,0,0,13,1978,10,0,0.00
214,15,23,0,0,13,1978,10,0,0.00
215,15,23,0,0,13,1978,10,0,0.00
216,15,23,0,0,13,1978,10,0,0.00
217,15,23,0,0,13,1978,10,0,0.00
218,15,23,0,0,13,1978,10,0,0.00
219,15,23,0,0,13,1978,10,0,0.00
220,15,23,0,0,13,1978,10,0,0.00
221,15,23,0,0,13,1978,10,0,0.00
222,15,23,0,0,13,1978,10,0,0.00
223,15,23,0,0,13,1978,10,0,0.00
224,15,23,0,0,13,1978,10,0,0.00
225,15,23,0,0,13,1978,10,0,0.00
226,15,23,0,0,13,1978,10,0,0.00
227,15,23,0,0,13,1978,10,0,0.00
228,15,23,0,0,13,1978,10,0,0.00
229,15,23,0,0,13,1978,10,0,0.00
230,15,23,0,0,13,1978,10,0,0.00
231,15,23,0,0,13,1978,10,0,0.00
232,15,23,0,0,13,1978,10,0,0.00
233,15,23,0,0,13,1978,10,0,0.00
234,15,23,0,0,13,1978,10,0,0.00
235,15,23,0,0,13,1978,10,0,0.00
236,15,23,0,0,12,1978,10,0,0.00
237,15,23,0,0,12,1978,10,0,0.00
238,15,23,0,0,12,1978,10,0,0.00
239,15,23,0,0,12,1978,10,0,0.00
240,15,23,0,0,12,1978,10,0,0.00
241,15,23,0,0,12,1978,10,0,0.00
242,15,23,0,0,12,1978,10,0,0.00
243,15,23,0,0,12,1978,10,0,0.00
244,16,22,0,0,13,1978,10,0,0.00
245,16,22,0,0,13,1978,10,0,0.00
246,16,22,0,0,13,1978,10,0,0.00
247,16,22,0,0,13,1978,10,0,0.00
248,16,23,0,0,13,1977,10,0,0.06
249,16,23,0,0,13,1977,10,0,0.00
250,16,23,0,0,13,1977,10,0,0.00
251,16,23,0,0,13,1977,10,0,0.00
252,16,23,0,0,13,1977,10,0,0.00
253,16,23,0,0,13,1977,10,0,0.00
254,16,23,0,0,13,1977,10,0,0.00
255,17,22,0,0,14,1977,10,0,0.00
256,17,22,0,0,14,1977,10,0,0.00
257,18,21,0,0,14,1977,10,0,0.00
258,18,21,0,0,14,1977,10,0,0.00
259,18,21,0,0,14,1977,10,0,0.00
260,18,22,0,0,14,1976,10,0,0.06
261,18,22,0,0,14,1976,10,0,0.00
262,18,22,0,0,14,1976,10,0,0.00
263,18,22,0,0,14,1976,10,0,0.00
264,18,22,0,0,14,1976,10,0,0.00
265,18,23,0,0,14,1975,10,0,0.06
266,18,23,0,0,14,1975,10,0,0.00
267,18,23,0,0,14,1975,10,0,0.00
268,18,23,0,0,14,1975,10,0,0.00
269,18,23,0,0,14,1975,10,0,0.00
270,18,23,0,0,14,1975,10,0,0.00
271,19,22,0,0,14,1975,10,0,0.00
272,19,23,0,0,14,1974,10,0,0.05
273,19,23,0,0,14,1974,10,0,0.00
274,19,24,0,0,14,1973,10,0,0.05
275,20,23,0,0,15,1973,10,0,0.00
276,20,23,0,0,15,1973,10,0,0.00
277,21,22,0,0,15,1973,10,0,0.00
278,21,22,0,0,15,1973,10,0,0.00
279,21,22,0,0,15,1973,10,0,0.00
280,21,22,0,0,15,1973,10,0,0.00
281,21,22,0,0,15,1973,10,0,0.00
282,21,23,0,0,15,1972,10,0,0.05
283,21,23,0,0,15,1972,10,0,0.00
284,21,23,0,0,15,1972,10,0,0.00
285,21,23,0,0,15,1972,10,0,0.00
286,21,24,0,0,15,1971,10,0,0.05
