step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds,avg_infection
0,4,0,0,0,4,1996,10,0,0.00
1,4,0,0,0,4,1996,10,0,0.00
2,4,0,0,0,4,1996,10,0,0.00
3,4,0,0,0,4,1996,10,0,0.00
4,4,1,0,0,4,1995,10,0,0.25
5,4,1,0,0,4,1995,10,0,0.00
6,4,1,0,0,4,1995,10,0,0.00
7,4,1,0,0,4,1995,10,0,0.00
8,4,1,0,0,4,1995,10,0,0.00
9,4,2,0,0,4,1994,10,0,0.25
10,4,2,0,0,4,1994,10,0,0.00
11,4,2,0,0,4,1994,10,0,0.00
12,4,2,0,0,4,1994,10,0,0.00
13,4,2,0,0,4,1994,10,0,0.00
14,4,2,0,0,4,1994,10,0,0.00
15,4,2,0,0,4,1994,10,0,0.00
16,4,2,0,0,4,1994,10,0,0.00
17,4,2,0,0,4,1994,10,0,0.00
18,4,2,0,0,4,1994,10,0,0.00
19,4,3,0,0,4,1993,10,0,0.25
20,4,3,0,0,4,1993,10,0,0.00
21,4,3,0,0,4,1993,10,0,0.00
22,4,3,0,0,4,1993,10,0,0.00
23,4,3,0,0,4,1993,10,0,0.00
24,4,3,0,0,4,1993,10,0,0.00
25,4,3,0,0,4,1993,10,0,0.00
26,4,3,0,0,4,1993,10,0,0.00
27,4,3,0,0,4,1993,10,0,0.00
28,4,3,0,0,4,1993,10,0,0.00
29,4,3,0,0,4,1993,10,0,0.00
30,4,3,0,0,4,1993,10,0,0.00
31,4,4,0,0,4,1992,10,0,0.25
32,4,4,0,0,4,1992,10,0,0.00
33,4,4,0,0,4,1992,10,0,0.00
34,4,4,0,0,4,1992,10,0,0.00
35,4,4,0,0,4,1992,10,0,0.00
36,4,5,0,0,4,1991,10,0,0.25
37,4,5,0,0,4,1991,10,0,0.00
38,4,5,0,0,4,1991,10,0,0.00
39,4,5,0,0,4,1991,10,0,0.00
40,4,5,0,0,4,1991,10,0,0.00
41,4,5,0,0,4,1991,10,0,0.00
42,4,5,0,0,4,1991,10,0,0.00
43,4,5,0,0,4,1991,10,0,0.00
44,4,5,0,0,4,1991,10,0,0.00
45,4,5,0,0,4,1991,10,0,0.00
46,4,5,0,0,4,1991,10,0,0.00
47,4,5,0,0,4,1991,10,0,0.00
48,4,5,0,0,4,1991,10,0,0.00
49,4,6,0,0,4,1990,10,0,0.25
50,4,6,0,0,4,1990,10,0,0.00
51,4,6,0,0,4,1990,10,0,0.00
52,4,6,0,0,4,1990,10,0,0.00
53,4,6,0,0,4,1990,10,0,0.00
54,4,6,0,0,4,1990,10,0,0.00
55,4,6,0,0,4,1990,10,0,0.00
56,4,6,0,0,4,1990,10,0,0.00
57,4,7,0,0,4,1989,10,0,0.25
58,4,7,0,0,4,1989,10,0,0.00
59,4,7,0,0,4,1989,10,0,0.00
60,4,7,0,0,4,1989,10,0,0.00
61,4,7,0,0,4,1989,10,0,0.00
62,4,7,0,0,4,1989,10,0,0.00
63,4,7,0,0,4,1989,10,0,0.00
64,4,7,0,0,4,1989,10,0,0.00
65,4,7,0,0,4,1989,10,0,0.00
66,4,7,0,0,4,1989,10,0,0.00
67,4,7,0,0,4,1989,10,0,0.00
68,4,7,0,0,4,1989,10,0,0.00
69,4,7,0,0,4,1989,10,0,0.00
70,4,7,0,0,4,1989,10,0,0.00
71,4,8,0,0,4,1988,10,0,0.25
72,4,9,0,0,4,1987,10,0,0.25
73,4,9,0,0,4,1987,10,0,0.00
74,4,9,0,0,4,1987,10,0,0.00
75,4,9,0,0,4,1987,10,0,0.00
76,4,9,0,0,4,1987,10,0,0.00
77,4,9,0,0,4,1987,10,0,0.00
78,4,9,0,0,4,1987,10,0,0.00
79,4,9,0,0,4,1987,10,0,0.00
80,4,9,0,0,4,1987,10,0,0.00
81,4,9,0,0,4,1987,10,0,0.00
82,4,9,0,0,4,1987,10,0,0.00
83,4,9,0,0,4,1987,10,0,0.00
84,4,9,0,0,4,1987,10,0,0.00
85,4,9,0,0,4,1987,10,0,0.00
86,4,9,0,0,4,1987,10,0,0.00
87,4,9,0,0,4,1987,10,0,0.00
88,4,9,0,0,4,1987,10,0,0.00
89,4,9,0,0,4,1987,10,0,0.00
90,4,9,0,0,4,1987,10,0,0.00
91,4,9,0,0,4,1987,10,0,0.00
92,4,9,0,0,4,1987,10,0,0.00
93,4,9,0,0,4,1987,10,0,0.00
94,4,9,0,0,4,1987,10,0,0.00
95,4,9,0,0,4,1987,10,0,0.00
96,4,9,0,0,4,1987,10,0,0.00
97,4,9,0,0,4,1987,10,0,0.00
98,4,9,0,0,4,1987,10,0,0.00
99,4,9,0,0,4,1987,10,0,0.00
100,4,9,0,0,4,1987,10,0,0.00
101,4,9,0,0,4,1987,10,0,0.00
102,4,9,0,0,4,1987,10,0,0.00
103,4,9,0,0,4,1987,10,0,0.00
104,4,9,0,0,4,1987,10,0,0.00
105,4,9,0,0,4,1987,10,0,0.00
106,4,9,0,0,4,1987,10,0,0.00
107,4,9,0,0,4,1987,10,0,0.00
108,4,9,0,0,4,1987,10,0,0.00
109,4,9,0,0,4,1987,10,0,0.00
110,4,9,0,0,4,1987,10,0,0.00
111,4,9,0,0,4,1987,10,0,0.00
112,4,9,0,0,4,1987,10,0,0.00
113,4,9,0,0,4,1987,10,0,0.00
114,4,9,0,0,4,1987,10,0,0.00
115,4,9,0,0,4,1987,10,0,0.00
116,4,9,0,0,4,1987,10,0,0.00
117,4,9,0,0,4,1987,10,0,0.00
118,4,9,0,0,4,1987,10,0,0.00
119,4,9,0,0,4,1987,10,0,0.00
120,4,9,0,0,4,1987,10,0,0.00
121,4,9,0,0,4,1987,10,0,0.00
122,4,9,0,0,4,1987,10,0,0.00
123,5,8,0,0,5,1987,10,0,0.00
124,5,8,0,0,5,1987,10,0,0.00
125,5,8,0,0,5,1987,10,0,0.00
126,5,8,0,0,5,1987,10,0,0.00
127,6,8,0,0,6,1986,10,0,0.17
128,6,8,0,0,6,1986,10,0,0.00
129,6,8,0,0,6,1986,10,0,0.00
130,7,7,0,0,6,1986,10,0,0.00
131,7,7,0,0,6,1986,10,0,0.00
