step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds,avg_infection
0,4,0,0,0,4,1996,10,0,0.00
1,5,0,0,0,5,1997,10,0,0.00
2,5,0,0,0,5,1997,10,0,0.00
3,5,0,0,0,5,1997,10,0,0.00
4,5,1,0,0,5,1996,10,0,0.20
5,5,1,0,0,5,1996,10,0,0.00
6,5,1,0,0,5,1996,10,0,0.00
7,5,1,0,0,5,1996,10,0,0.00
8,5,1,0,0,5,1996,10,0,0.00
9,5,1,0,0,5,1996,10,0,0.00
10,5,1,0,0,5,1996,10,0,0.00
11,5,2,0,0,5,1995,10,0,0.20
12,5,2,0,0,5,1995,10,0,0.00
13,5,2,0,0,5,1995,10,0,0.00
14,5,2,0,0,5,1995,10,0,0.00
15,5,2,0,0,5,1995,10,0,0.00
16,5,2,0,0,5,1995,10,0,0.00
17,5,2,0,0,5,1995,10,0,0.00
18,5,2,0,0,5,1995,10,0,0.00
19,5,2,0,0,5,1995,10,0,0.00
20,5,2,0,0,5,1995,10,0,0.00
21,5,2,0,0,5,1995,10,0,0.00
22,5,2,0,0,5,1995,10,0,0.00
23,5,2,0,0,5,1995,10,0,0.00
24,5,2,0,0,5,1995,10,0,0.00
25,5,2,0,0,5,1995,10,0,0.00
26,5,2,0,0,5,1995,10,0,0.00
27,5,2,0,0,5,1995,10,0,0.00
28,5,2,0,0,5,1995,10,0,0.00
29,5,3,0,0,5,1994,10,0,0.20
30,5,3,0,0,5,1994,10,0,0.00
31,5,3,0,0,5,1994,10,0,0.00
32,5,3,0,0,5,1994,10,0,0.00
33,5,3,0,0,5,1994,10,0,0.00
34,5,3,0,0,5,1994,10,0,0.00
35,5,3,0,0,5,1994,10,0,0.00
36,5,3,0,0,5,1994,10,0,0.00
37,5,3,0,0,5,1994,10,0,0.00
38,5,3,0,0,5,1994,10,0,0.00
39,5,3,0,0,5,1994,10,0,0.00
40,5,3,0,0,5,1994,10,0,0.00
41,5,3,0,0,5,1994,10,0,0.00
42,5,4,0,0,5,1993,10,0,0.20
43,5,4,0,0,5,1993,10,0,0.00
44,5,4,0,0,5,1993,10,0,0.00
45,5,4,0,0,5,1993,10,0,0.00
46,5,4,0,0,5,1993,10,0,0.00
47,5,4,0,0,5,1993,10,0,0.00
48,5,4,0,0,5,1993,10,0,0.00
49,5,4,0,0,5,1993,10,0,0.00
50,5,4,0,0,5,1993,10,0,0.00
51,5,4,0,0,5,1993,10,0,0.00
