step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds,avg_infection
0,4,0,0,0,4,1996,10,0,0.00
1,7,0,0,0,7,1999,10,0,0.00
2,7,0,0,0,7,1999,10,0,0.00
3,7,0,0,0,7,1999,10,0,0.00
4,7,0,0,0,7,1999,10,0,0.00
5,7,0,0,0,7,1999,10,0,0.00
6,7,0,0,0,7,1999,10,0,0.00
7,7,0,0,0,7,1999,10,0,0.00
8,7,0,0,0,7,1999,10,0,0.00
9,7,0,0,0,7,1999,10,0,0.00
10,7,0,0,0,7,1999,10,0,0.00
11,7,0,0,0,7,1999,10,0,0.00
12,7,0,0,0,7,1999,10,0,0.00
13,7,0,0,0,7,1999,10,0,0.00
14,7,0,0,0,7,1999,10,0,0.00
15,7,0,0,0,7,1999,10,0,0.00
16,7,0,0,0,7,1999,10,0,0.00
17,7,0,0,0,7,1999,10,0,0.00
18,7,0,0,0,7,1999,10,0,0.00
19,7,0,0,0,7,1999,10,0,0.00
20,7,0,0,0,7,1999,10,0,0.00
21,7,0,0,0,7,1999,10,0,0.00
22,7,0,0,0,7,1999,10,0,0.00
23,7,0,0,0,7,1999,10,0,0.00
24,7,0,0,0,7,1999,10,0,0.00
25,7,0,0,0,7,1999,10,0,0.00
26,7,0,0,0,7,1999,10,0,0.00
27,7,0,0,0,7,1999,10,0,0.00
28,7,0,0,0,7,1999,10,0,0.00
29,7,0,0,0,7,1999,10,0,0.00
30,7,0,0,0,7,1999,10,0,0.00
31,7,0,0,0,7,1999,10,0,0.00
32,7,0,0,0,7,1999,10,0,0.00
33,7,0,0,0,7,1999,10,0,0.00
34,7,0,0,0,7,1999,10,0,0.00
35,7,0,0,0,7,1999,10,0,0.00
36,7,0,0,0,7,1999,10,0,0.00
37,7,0,0,0,7,1999,10,0,0.00
38,7,0,0,0,7,1999,10,0,0.00
39,7,0,0,0,7,1999,10,0,0.00
40,7,0,0,0,7,1999,10,0,0.00
41,7,0,0,0,7,1999,10,0,0.00
42,7,0,0,0,7,1999,10,0,0.00
43,7,0,0,0,7,1999,10,0,0.00
44,7,1,0,0,7,1998,10,0,0.00
45,7,1,0,0,7,1998,10,0,0.00
46,7,1,0,0,7,1998,10,0,0.00
47,7,1,0,0,7,1998,10,0,0.00
48,7,1,0,0,7,1998,10,0,0.00
49,7,1,0,0,7,1998,10,0,0.00
50,7,1,0,0,7,1998,10,0,0.00
51,7,1,0,0,7,1998,10,0,0.00
52,7,1,0,0,7,1998,10,0,0.00
53,7,1,0,0,7,1998,10,0,0.00
54,7,2,0,0,7,1997,10,0,0.00
55,7,2,0,0,7,1997,10,0,0.00
56,7,2,0,0,7,1997,10,0,0.00
57,7,2,0,0,7,1997,10,0,0.00
58,7,2,0,0,7,1997,10,0,0.00
59,7,2,0,0,7,1997,10,0,0.00
60,7,2,0,0,7,1997,10,0,0.00
61,7,2,0,0,7,1997,10,0,0.00
62,7,2,0,0,7,1997,10,0,0.00
63,7,2,0,0,7,1997,10,0,0.00
64,7,2,0,0,7,1997,10,0,0.00
65,7,2,0,0,7,1997,10,0,0.00
66,7,2,0,0,7,1997,10,0,0.00
67,7,2,0,0,7,1997,10,0,0.00
68,7,2,0,0,7,1997,10,0,0.00
69,7,2,0,0,7,1997,10,0,0.00
70,7,2,0,0,7,1997,10,0,0.00
71,7,2,0,0,7,1997,10,0,0.00
72,7,2,0,0,7,1997,10,0,0.00
73,7,2,0,0,7,1997,10,0,0.00
74,7,2,0,0,7,1997,10,0,0.00
75,7,2,0,0,7,1997,10,0,0.00
76,7,2,0,0,7,1997,10,0,0.00
77,7,2,0,0,7,1997,10,0,0.00
78,7,2,0,0,7,1997,10,0,0.00
79,7,2,0,0,7,1997,10,0,0.00
80,7,2,0,0,7,1997,10,0,0.00
81,7,2,0,0,7,1997,10,0,0.00
82,7,2,0,0,7,1997,10,0,0.00
83,7,2,0,0,7,1997,10,0,0.00
84,7,2,0,0,7,1997,10,0,0.00
85,7,2,0,0,7,1997,10,0,0.00
86,7,2,0,0,7,1997,10,0,0.00
87,7,2,0,0,7,1997,10,0,0.00
88,7,2,0,0,7,1997,10,0,0.00
89,7,2,0,0,7,1997,10,0,0.00
90,7,2,0,0,7,1997,10,0,0.00
91,7,2,0,0,7,1997,10,0,0.00
92,7,2,0,0,7,1997,10,0,0.00
93,7,2,0,0,7,1997,10,0,0.00
94,7,2,0,0,7,1997,10,0,0.00
95,7,3,0,0,7,1996,10,0,0.00
96,7,3,0,0,7,1996,10,0,0.00
97,7,3,0,0,7,1996,10,0,0.00
98,7,3,0,0,7,1996,10,0,0.00
99,7,3,0,0,7,1996,10,0,0.00
100,7,3,0,0,7,1996,10,0,0.00
101,7,3,0,0,7,1996,10,0,0.00
102,7,3,0,0,7,1996,10,0,0.00
103,7,3,0,0,7,1996,10,0,0.00
104,7,3,0,0,7,1996,10,0,0.00
105,7,3,0,0,7,1996,10,0,0.00
106,7,3,0,0,7,1996,10,0,0.00
107,7,3,0,0,7,1996,10,0,0.00
108,7,3,0,0,7,1996,10,0,0.00
109,7,3,0,0,7,1996,10,0,0.00
110,7,3,0,0,7,1996,10,0,0.00
111,7,3,0,0,7,1996,10,0,0.00
112,7,3,0,0,7,1996,10,0,0.00
113,7,3,0,0,7,1996,10,0,0.00
114,7,3,0,0,7,1996,10,0,0.00
115,7,3,0,0,7,1996,10,0,0.00
116,7,3,0,0,7,1996,10,0,0.00
117,7,3,0,0,7,1996,10,0,0.00
118,7,3,0,0,7,1996,10,0,0.00
119,7,3,0,0,7,1996,10,0,0.00
120,7,3,0,0,7,1996,10,0,0.00
121,7,3,0,0,7,1996,10,0,0.00
122,7,3,0,0,7,1996,10,0,0.00
123,7,3,0,0,7,1996,10,0,0.00
124,7,3,0,0,7,1996,10,0,0.00
125,7,4,0,0,7,1995,10,0,0.00
126,7,4,0,0,7,1995,10,0,0.00
127,7,4,0,0,7,1995,10,0,0.00
128,7,4,0,0,7,1995,10,0,0.00
129,7,4,0,0,7,1995,10,0,0.00
130,7,4,0,0,7,1995,10,0,0.00
131,7,4,0,0,7,1995,10,0,0.00
132,7,4,0,0,7,1995,10,0,0.00
133,7,4,0,0,7,1995,10,0,0.00
134,7,4,0,0,7,1995,10,0,0.00
135,7,4,0,0,7,1995,10,0,0.00
136,7,4,0,0,7,1995,10,0,0.00
137,7,4,0,0,7,1995,10,0,0.00
138,7,5,0,0,7,1994,10,0,0.00
139,7,5,0,0,7,1994,10,0,0.00
140,7,5,0,0,7,1994,10,0,0.00
141,7,5,0,0,7,1994,10,0,0.00
142,7,5,0,0,7,1994,10,0,0.00
143,7,5,0,0,7,1994,10,0,0.00
144,7,5,0,0,7,1994,10,0,0.00
145,7,5,0,0,7,1994,10,0,0.00
146,7,5,0,0,7,1994,10,0,0.00
147,7,5,0,0,7,1994,10,0,0.00
148,7,5,0,0,7,1994,10,0,0.00
149,7,5,0,0,7,1994,10,0,0.00
150,7,5,0,0,7,1994,10,0,0.00
151,7,5,0,0,7,1994,10,0,0.00
152,7,5,0,0,7,1994,10,0,0.00
153,7,5,0,0,7,1994,10,0,0.00
154,7,5,0,0,7,1994,10,0,0.00
155,7,5,0,0,7,1994,10,0,0.00
156,7,5,0,0,7,1994,10,0,0.00
157,7,5,0,0,7,1994,10,0,0.00
158,7,6,0,0,7,1993,10,0,0.00
159,7,6,0,0,7,1993,10,0,0.00
160,7,6,0,0,7,1993,10,0,0.00
161,7,6,0,0,7,1993,10,0,0.00
162,7,6,0,0,7,1993,10,0,0.00
163,7,6,0,0,7,1993,10,0,0.00
164,7,6,0,0,7,1993,10,0,0.00
165,7,6,0,0,7,1993,10,0,0.00
166,7,6,0,0,7,1993,10,0,0.00
167,7,6,0,0,7,1993,10,0,0.00
168,7,6,0,0,7,1993,10,0,0.00
169,7,7,0,0,7,1992,10,0,0.00
170,7,7,0,0,7,1992,10,0,0.00
171,7,7,0,0,7,1992,10,0,0.00
172,7,7,0,0,7,1992,10,0,0.00
173,7,7,0,0,7,1992,10,0,0.00
174,7,7,0,0,7,1992,10,0,0.00
175,7,8,0,0,7,1991,10,0,0.00
176,7,8,0,0,7,1991,10,0,0.00
177,7,9,0,0,7,1990,10,0,0.00
178,7,9,0,0,7,1990,10,0,0.00
179,7,9,0,0,7,1990,10,0,0.00
180,7,9,0,0,7,1990,10,0,0.00
181,7,9,0,0,7,1990,10,0,0.00
182,7,9,0,0,7,1990,10,0,0.00
183,7,9,0,0,7,1990,10,0,0.00
184,7,9,0,0,7,1990,10,0,0.00
185,7,9,0,0,7,1990,10,0,0.00
186,7,9,0,0,7,1990,10,0,0.00
187,7,9,0,0,7,1990,10,0,0.00
188,7,9,0,0,7,1990,10,0,0.00
189,7,9,0,0,7,1990,10,0,0.00
190,7,9,0,0,7,1990,10,0,0.00
191,7,9,0,0,7,1990,10,0,0.00
192,7,9,0,0,7,1990,10,0,0.00
193,7,9,0,0,7,1990,10,0,0.00
194,7,9,0,0,7,1990,10,0,0.00
195,7,9,0,0,7,1990,10,0,0.00
196,7,9,0,0,7,1990,10,0,0.00
197,7,9,0,0,7,1990,10,0,0.00
198,7,9,0,0,7,1990,10,0,0.00
199,7,9,0,0,7,1990,10,0,0.00
200,7,9,0,0,7,1990,10,0,0.00
201,7,9,0,0,7,1990,10,0,0.00
202,7,9,0,0,7,1990,10,0,0.00
203,7,9,0,0,7,1990,10,0,0.00
204,7,9,0,0,7,1990,10,0,0.00
205,7,9,0,0,7,1990,10,0,0.00
206,7,9,0,0,7,1990,10,0,0.00
207,7,9,0,0,7,1990,10,0,0.00
208,7,9,0,0,7,1990,10,0,0.00
209,7,9,0,0,7,1990,10,0,0.00
210,7,9,0,0,7,1990,10,0,0.00
211,7,9,0,0,7,1990,10,0,0.00
212,7,9,0,0,7,1990,10,0,0.00
213,7,9,0,0,7,1990,10,0,0.00
214,7,9,0,0,7,1990,10,0,0.00
215,7,9,0,0,7,1990,10,0,0.00
216,7,9,0,0,7,1990,10,0,0.00
217,7,9,0,0,7,1990,10,0,0.00
218,7,9,0,0,7,1990,10,0,0.00
219,7,9,0,0,7,1990,10,0,0.00
220,7,9,0,0,7,1990,10,0,0.00
221,7,9,0,0,7,1990,10,0,0.00
222,7,10,0,0,7,1989,10,0,0.00
223,7,10,0,0,7,1989,10,0,0.00
224,7,10,0,0,7,1989,10,0,0.00
225,7,10,0,0,7,1989,10,0,0.00
226,7,10,0,0,7,1989,10,0,0.00
227,7,10,0,0,7,1989,10,0,0.00
228,7,10,0,0,7,1989,10,0,0.00
229,7,10,0,0,7,1989,10,0,0.00
230,7,10,0,0,7,1989,10,0,0.00
231,7,10,0,0,7,1989,10,0,0.00
232,7,10,0,0,7,1989,10,0,0.00
233,7,10,0,0,7,1989,10,0,0.00
234,7,10,0,0,7,1989,10,0,0.00
235,7,10,0,0,7,1989,10,0,0.00
236,7,10,0,0,7,1989,10,0,0.00
237,7,11,0,0,7,1988,10,0,0.00
238,7,11,0,0,7,1988,10,0,0.00
239,7,11,0,0,7,1988,10,0,0.00
240,7,11,0,0,7,1988,10,0,0.00
241,7,11,0,0,7,1988,10,0,0.00
242,7,11,0,0,7,1988,10,0,0.00
243,7,11,0,0,7,1988,10,0,0.00
244,7,11,0,0,7,1988,10,0,0.00
245,7,12,0,0,7,1987,10,0,0.00
246,7,12,0,0,7,1987,10,0,0.00
247,7,12,0,0,7,1987,10,0,0.00
248,7,13,0,0,7,1986,10,0,0.00
249,7,13,0,0,7,1986,10,0,0.00
250,7,13,0,0,7,1986,10,0,0.00
251,7,13,0,0,7,1986,10,0,0.00
252,7,13,0,0,7,1986,10,0,0.00
253,7,13,0,0,7,1986,10,0,0.00
254,7,13,0,0,7,1986,10,0,0.00
255,7,13,0,0,7,1986,10,0,0.00
256,7,13,0,0,7,1986,10,0,0.00
257,7,13,0,0,7,1986,10,0,0.00
258,7,13,0,0,7,1986,10,0,0.00
259,7,13,0,0,7,1986,10,0,0.00
260,7,13,0,0,7,1986,10,0,0.00
261,7,13,0,0,7,1986,10,0,0.00
262,7,13,0,0,7,1986,10,0,0.00
263,7,14,0,0,7,1985,10,0,0.00
264,7,14,0,0,7,1985,10,0,0.00
265,7,14,0,0,7,1985,10,0,0.00
266,7,14,0,0,7,1985,10,0,0.00
267,7,14,0,0,7,1985,10,0,0.00
268,7,14,0,0,7,1985,10,0,0.00
269,7,14,0,0,7,1985,10,0,0.00
270,7,14,0,0,7,1985,10,0,0.00
271,7,14,0,0,7,1985,10,0,0.00
272,7,14,0,0,7,1985,10,0,0.00
273,7,14,0,0,7,1985,10,0,0.00
274,7,14,0,0,7,1985,10,0,0.00
275,7,14,0,0,7,1985,10,0,0.00
276,7,14,0,0,7,1985,10,0,0.00
277,7,14,0,0,7,1985,10,0,0.00
278,7,14,0,0,7,1985,10,0,0.00
279,7,14,0,0,7,1985,10,0,0.00
280,7,14,0,0,7,1985,10,0,0.00
281,7,14,0,0,7,1985,10,0,0.00
282,7,14,0,0,7,1985,10,0,0.00
283,7,14,0,0,7,1985,10,0,0.00
284,7,14,0,0,7,1985,10,0,0.00
285,7,14,0,0,7,1985,10,0,0.00
286,7,14,0,0,7,1985,10,0,0.00
