step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds,avg_infection
0,4,1,0,0,4,1995,10,0,0.25
1,4,3,0,0,4,1993,10,0,0.75
2,4,3,0,0,4,1993,10,0,0.75
3,4,3,0,0,4,1993,10,0,0.75
4,4,3,0,0,4,1993,10,0,0.75
5,4,3,0,0,4,1993,10,0,0.75
6,4,3,0,0,4,1993,10,0,0.75
7,4,3,0,0,4,1993,10,0,0.75
8,4,3,0,0,4,1993,10,0,0.75
9,4,3,0,0,4,1993,10,0,0.75
10,4,3,0,0,4,1993,10,0,0.75
11,4,3,0,0,4,1993,10,0,0.75
12,4,3,0,0,4,1993,10,0,0.75
13,4,3,0,0,4,1993,10,0,0.75
14,4,3,0,0,4,1993,10,0,0.75
15,4,3,0,0,4,1993,10,0,0.75
16,4,6,0,0,4,1990,10,0,1.50
17,4,6,0,0,4,1990,10,0,1.50
18,4,7,0,0,4,1989,10,0,1.75
19,4,8,0,0,4,1988,10,0,2.00
20,4,9,0,0,4,1987,10,0,2.25
21,4,9,0,0,4,1987,10,0,2.25
22,4,9,0,0,4,1987,10,0,2.25
23,4,9,0,0,4,1987,10,0,2.25
24,4,9,0,0,4,1987,10,0,2.25
25,4,10,0,0,4,1986,10,0,2.50
26,4,10,0,0,4,1986,10,0,2.50
27,4,11,0,0,4,1985,10,0,2.75
28,4,11,0,0,4,1985,10,0,2.75
29,4,12,0,0,4,1984,10,0,3.00
30,4,12,0,0,4,1984,10,0,3.00
31,4,12,0,0,4,1984,10,0,3.00
32,4,12,0,0,4,1984,10,0,3.00
33,4,12,0,0,4,1984,10,0,3.00
34,4,12,0,0,4,1984,10,0,3.00
35,4,12,0,0,4,1984,10,0,3.00
36,4,12,0,0,4,1984,10,0,3.00
37,4,12,0,0,4,1984,10,0,3.00
38,4,12,0,0,4,1984,10,0,3.00
39,4,12,0,0,4,1984,10,0,3.00
40,4,12,0,0,4,1984,10,0,3.00
41,4,12,0,0,4,1984,10,0,3.00
42,4,12,0,0,4,1984,10,0,3.00
43,4,12,0,0,4,1984,10,0,3.00
44,4,12,0,0,4,1984,10,0,3.00
45,4,12,0,0,4,1984,10,0,3.00
46,4,12,0,0,4,1984,10,0,3.00
47,4,12,0,0,4,1984,10,0,3.00
48,4,12,0,0,4,1984,10,0,3.00
49,4,12,0,0,4,1984,10,0,3.00
50,4,12,0,0,4,1984,10,0,3.00
51,4,12,0,0,4,1984,10,0,3.00
52,4,12,0,0,4,1984,10,0,3.00
53,4,12,0,0,4,1984,10,0,3.00
54,4,12,0,0,4,1984,10,0,3.00
55,4,12,0,0,4,1984,10,0,3.00
56,4,12,0,0,4,1984,10,0,3.00
57,4,12,0,0,4,1984,10,0,3.00
58,4,12,0,0,4,1984,10,0,3.00
59,4,12,0,0,4,1984,10,0,3.00
60,4,12,0,0,4,1984,10,0,3.00
61,4,12,0,0,4,1984,10,0,3.00
62,4,14,0,0,4,1982,10,0,3.50
63,4,14,0,0,4,1982,10,0,3.50
64,4,14,0,0,4,1982,10,0,3.50
65,4,14,0,0,4,1982,10,0,3.50
66,4,14,0,0,4,1982,10,0,3.50
67,4,14,0,0,4,1982,10,0,3.50
68,4,14,0,0,4,1982,10,0,3.50
69,4,14,0,0,4,1982,10,0,3.50
70,4,14,0,0,4,1982,10,0,3.50
71,4,14,0,0,4,1982,10,0,3.50
72,4,14,0,0,4,1982,10,0,3.50
73,4,14,0,0,4,1982,10,0,3.50
74,4,14,0,0,4,1982,10,0,3.50
75,4,14,0,0,4,1982,10,0,3.50
76,4,14,0,0,4,1982,10,0,3.50
77,4,14,0,0,4,1982,10,0,3.50
78,4,14,0,0,4,1982,10,0,3.50
79,4,14,0,0,4,1982,10,0,3.50
80,4,15,0,0,4,1981,10,0,3.75
81,4,15,0,0,4,1981,10,0,3.75
82,4,15,0,0,4,1981,10,0,3.75
83,4,15,0,0,4,1981,10,0,3.75
84,4,15,0,0,4,1981,10,0,3.75
85,4,15,0,0,4,1981,10,0,3.75
86,4,16,0,0,4,1980,10,0,4.00
87,4,16,0,0,4,1980,10,0,4.00
88,4,16,0,0,4,1980,10,0,4.00
89,4,16,0,0,4,1980,10,0,4.00
90,4,16,0,0,4,1980,10,0,4.00
91,4,16,0,0,4,1980,10,0,4.00
92,4,16,0,0,4,1980,10,0,4.00
93,4,16,0,0,4,1980,10,0,4.00
94,4,16,0,0,4,1980,10,0,4.00
95,4,16,0,0,4,1980,10,0,4.00
96,4,16,0,0,4,1980,10,0,4.00
97,4,16,0,0,4,1980,10,0,4.00
98,4,16,0,0,4,1980,10,0,4.00
99,4,16,0,0,4,1980,10,0,4.00
100,4,16,0,0,4,1980,10,0,4.00
101,4,16,0,0,4,1980,10,0,4.00
102,4,16,0,0,4,1980,10,0,4.00
103,4,16,0,0,4,1980,10,0,4.00
104,4,16,0,0,4,1980,10,0,4.00
105,4,16,0,0,4,1980,10,0,4.00
106,4,16,0,0,4,1980,10,0,4.00
107,4,16,0,0,4,1980,10,0,4.00
108,4,16,0,0,4,1980,10,0,4.00
109,4,16,0,0,4,1980,10,0,4.00
110,4,16,0,0,4,1980,10,0,4.00
111,4,16,0,0,4,1980,10,0,4.00
112,4,16,0,0,4,1980,10,0,4.00
113,4,16,0,0,4,1980,10,0,4.00
114,4,16,0,0,4,1980,10,0,4.00
115,4,16,0,0,4,1980,10,0,4.00
116,4,16,0,0,4,1980,10,0,4.00
117,4,16,0,0,4,1980,10,0,4.00
118,4,16,0,0,4,1980,10,0,4.00
119,4,16,0,0,4,1980,10,0,4.00
120,4,16,0,0,4,1980,10,0,4.00
121,4,17,0,0,4,1979,10,0,4.25
122,4,17,0,0,4,1979,10,0,4.25
123,4,17,0,0,4,1979,10,0,4.25
124,4,17,0,0,4,1979,10,0,4.25
125,4,17,0,0,4,1979,10,0,4.25
126,4,17,0,0,4,1979,10,0,4.25
127,4,17,0,0,4,1979,10,0,4.25
128,4,17,0,0,4,1979,10,0,4.25
129,4,17,0,0,4,1979,10,0,4.25
130,4,17,0,0,4,1979,10,0,4.25
131,4,18,0,0,4,1978,10,0,4.50
132,4,18,0,0,4,1978,10,0,4.50
133,4,18,0,0,4,1978,10,0,4.50
134,4,19,0,0,4,1977,10,0,4.75
135,4,19,0,0,4,1977,10,0,4.75
136,4,19,0,0,4,1977,10,0,4.75
137,4,19,0,0,4,1977,10,0,4.75
138,4,19,0,0,4,1977,10,0,4.75
139,4,19,0,0,4,1977,10,0,4.75
140,4,19,0,0,4,1977,10,0,4.75
141,4,19,0,0,4,1977,10,0,4.75
142,4,19,0,0,4,1977,10,0,4.75
143,4,19,0,0,4,1977,10,0,4.75
144,4,19,0,0,4,1977,10,0,4.75
145,4,19,0,0,4,1977,10,0,4.75
146,4,19,0,0,4,1977,10,0,4.75
147,4,19,0,0,4,1977,10,0,4.75
148,4,19,0,0,4,1977,10,0,4.75
149,4,19,0,0,4,1977,10,0,4.75
150,4,19,0,0,4,1977,10,0,4.75
151,4,19,0,0,4,1977,10,0,4.75
152,4,19,0,0,4,1977,10,0,4.75
153,4,19,0,0,4,1977,10,0,4.75
154,4,19,0,0,4,1977,10,0,4.75
155,4,19,0,0,4,1977,10,0,4.75
156,4,19,0,0,4,1977,10,0,4.75
157,4,19,0,0,4,1977,10,0,4.75
158,4,19,0,0,4,1977,10,0,4.75
159,4,19,0,0,4,1977,10,0,4.75
160,4,19,0,0,4,1977,10,0,4.75
161,4,19,0,0,4,1977,10,0,4.75
162,4,19,0,0,4,1977,10,0,4.75
163,4,19,0,0,4,1977,10,0,4.75
164,4,19,0,0,4,1977,10,0,4.75
165,4,19,0,0,4,1977,10,0,4.75
166,4,19,0,0,4,1977,10,0,4.75
167,4,19,0,0,4,1977,10,0,4.75
168,4,19,0,0,4,1977,10,0,4.75
169,4,19,0,0,4,1977,10,0,4.75
170,4,19,0,0,4,1977,10,0,4.75
171,4,19,0,0,4,1977,10,0,4.75
172,4,19,0,0,4,1977,10,0,4.75
173,4,19,0,0,4,1977,10,0,4.75
174,4,19,0,0,4,1977,10,0,4.75
175,4,19,0,0,4,1977,10,0,4.75
176,4,19,0,0,4,1977,10,0,4.75
177,4,19,0,0,4,1977,10,0,4.75
178,4,19,0,0,4,1977,10,0,4.75
179,4,19,0,0,4,1977,10,0,4.75
180,4,19,0,0,4,1977,10,0,4.75
181,4,19,0,0,4,1977,10,0,4.75
182,4,19,0,0,4,1977,10,0,4.75
183,4,19,0,0,4,1977,10,0,4.75
184,4,19,0,0,4,1977,10,0,4.75
185,4,19,0,0,4,1977,10,0,4.75
186,4,19,0,0,4,1977,10,0,4.75
187,4,19,0,0,4,1977,10,0,4.75
188,4,19,0,0,4,1977,10,0,4.75
189,4,19,0,0,4,1977,10,0,4.75
190,4,19,0,0,4,1977,10,0,4.75
191,4,19,0,0,4,1977,10,0,4.75
192,4,19,0,0,4,1977,10,0,4.75
193,4,19,0,0,4,1977,10,0,4.75
194,4,19,0,0,4,1977,10,0,4.75
195,4,19,0,0,4,1977,10,0,4.75
196,4,19,0,0,4,1977,10,0,4.75
197,4,19,0,0,4,1977,10,0,4.75
198,4,19,0,0,4,1977,10,0,4.75
199,4,19,0,0,4,1977,10,0,4.75
200,4,19,0,0,4,1977,10,0,4.75
201,4,19,0,0,4,1977,10,0,4.75
202,4,19,0,0,4,1977,10,0,4.75
203,4,19,0,0,4,1977,10,0,4.75
204,4,19,0,0,4,1977,10,0,4.75
205,4,19,0,0,4,1977,10,0,4.75
206,4,19,0,0,4,1977,10,0,4.75
207,4,20,0,0,4,1976,10,0,5.00
208,4,20,0,0,4,1976,10,0,5.00
209,4,20,0,0,4,1976,10,0,5.00
210,4,20,0,0,4,1976,10,0,5.00
211,4,20,0,0,4,1976,10,0,5.00
212,4,20,0,0,4,1976,10,0,5.00
213,4,20,0,0,4,1976,10,0,5.00
214,4,20,0,0,4,1976,10,0,5.00
215,4,20,0,0,4,1976,10,0,5.00
216,4,20,0,0,4,1976,10,0,5.00
217,4,20,0,0,4,1976,10,0,5.00
218,4,20,0,0,4,1976,10,0,5.00
219,4,20,0,0,4,1976,10,0,5.00
220,4,20,0,0,4,1976,10,0,5.00
221,4,20,0,0,4,1976,10,0,5.00
222,4,20,0,0,4,1976,10,0,5.00
223,4,20,0,0,4,1976,10,0,5.00
224,4,21,0,0,4,1975,10,0,5.25
225,4,21,0,0,4,1975,10,0,5.25
226,4,21,0,0,4,1975,10,0,5.25
227,4,21,0,0,4,1975,10,0,5.25
228,4,21,0,0,4,1975,10,0,5.25
229,4,21,0,0,4,1975,10,0,5.25
230,4,21,0,0,4,1975,10,0,5.25
231,4,21,0,0,4,1975,10,0,5.25
232,4,21,0,0,4,1975,10,0,5.25
233,4,21,0,0,4,1975,10,0,5.25
234,4,21,0,0,4,1975,10,0,5.25
235,4,21,0,0,4,1975,10,0,5.25
236,4,22,0,0,4,1974,10,0,5.50
237,4,22,0,0,4,1974,10,0,5.50
238,4,22,0,0,4,1974,10,0,5.50
239,4,22,0,0,4,1974,10,0,5.50
240,4,22,0,0,4,1974,10,0,5.50
241,4,22,0,0,4,1974,10,0,5.50
242,4,22,0,0,4,1974,10,0,5.50
243,4,22,0,0,4,1974,10,0,5.50
244,4,22,0,0,4,1974,10,0,5.50
245,4,22,0,0,4,1974,10,0,5.50
246,4,22,0,0,4,1974,10,0,5.50
247,4,22,0,0,4,1974,10,0,5.50
248,4,22,0,0,4,1974,10,0,5.50
249,4,22,0,0,4,1974,10,0,5.50
250,4,22,0,0,4,1974,10,0,5.50
251,4,22,0,0,4,1974,10,0,5.50
252,4,22,0,0,4,1974,10,0,5.50
253,4,22,0,0,4,1974,10,0,5.50
254,4,22,0,0,4,1974,10,0,5.50
255,4,22,0,0,4,1974,10,0,5.50
256,4,22,0,0,4,1974,10,0,5.50
257,4,22,0,0,4,1974,10,0,5.50
258,4,22,0,0,4,1974,10,0,5.50
259,4,22,0,0,4,1974,10,0,5.50
260,4,22,0,0,4,1974,10,0,5.50
261,4,22,0,0,4,1974,10,0,5.50
262,4,22,0,0,4,1974,10,0,5.50
263,4,22,0,0,4,1974,10,0,5.50
264,4,22,0,0,4,1974,10,0,5.50
265,4,23,0,0,4,1973,10,0,5.75
266,4,23,0,0,4,1973,10,0,5.75
267,4,23,0,0,4,1973,10,0,5.75
268,4,23,0,0,4,1973,10,0,5.75
269,4,23,0,0,4,1973,10,0,5.75
270,4,23,0,0,4,1973,10,0,5.75
271,4,23,0,0,4,1973,10,0,5.75
272,4,23,0,0,4,1973,10,0,5.75
273,4,23,0,0,4,1973,10,0,5.75
274,4,23,0,0,4,1973,10,0,5.75
275,4,23,0,0,4,1973,10,0,5.75
276,4,23,0,0,4,1973,10,0,5.75
277,4,23,0,0,4,1973,10,0,5.75
278,4,23,0,0,4,1973,10,0,5.75
279,4,23,0,0,4,1973,10,0,5.75
280,4,23,0,0,4,1973,10,0,5.75
281,4,23,0,0,4,1973,10,0,5.75
282,4,23,0,0,4,1973,10,0,5.75
283,4,23,0,0,4,1973,10,0,5.75
284,4,23,0,0,4,1973,10,0,5.75
285,4,23,0,0,4,1973,10,0,5.75
286,4,23,0,0,4,1973,10,0,5.75
287,4,23,0,0,4,1973,10,0,5.75
288,4,23,0,0,4,1973,10,0,5.75
289,4,23,0,0,4,1973,10,0,5.75
290,4,23,0,0,4,1973,10,0,5.75
291,4,23,0,0,4,1973,10,0,5.75
292,4,23,0,0,4,1973,10,0,5.75
293,4,23,0,0,4,1973,10,0,5.75
294,4,23,0,0,4,1973,10,0,5.75
295,4,23,0,0,4,1973,10,0,5.75
296,4,23,0,0,4,1973,10,0,5.75
297,4,23,0,0,4,1973,10,0,5.75
298,4,23,0,0,4,1973,10,0,5.75
299,4,23,0,0,4,1973,10,0,5.75
300,4,23,0,0,4,1973,10,0,5.75
301,4,23,0,0,4,1973,10,0,5.75
302,4,23,0,0,4,1973,10,0,5.75
303,4,23,0,0,4,1973,10,0,5.75
304,4,23,0,0,4,1973,10,0,5.75
305,4,23,0,0,4,1973,10,0,5.75
306,4,23,0,0,4,1973,10,0,5.75
307,4,23,0,0,4,1973,10,0,5.75
308,4,23,0,0,4,1973,10,0,5.75
309,4,23,0,0,4,1973,10,0,5.75
310,4,23,0,0,4,1973,10,0,5.75
311,4,23,0,0,4,1973,10,0,5.75
312,4,23,0,0,4,1973,10,0,5.75
313,4,23,0,0,4,1973,10,0,5.75
314,4,23,0,0,4,1973,10,0,5.75
315,4,23,0,0,4,1973,10,0,5.75
316,4,23,0,0,4,1973,10,0,5.75
317,4,23,0,0,4,1973,10,0,5.75
318,4,23,0,0,4,1973,10,0,5.75
319,4,23,0,0,4,1973,10,0,5.75
320,4,23,0,0,4,1973,10,0,5.75
321,4,23,0,0,4,1973,10,0,5.75
322,4,23,0,0,4,1973,10,0,5.75
323,4,23,0,0,4,1973,10,0,5.75
324,4,23,0,0,4,1973,10,0,5.75
325,4,23,0,0,4,1973,10,0,5.75
326,4,23,0,0,4,1973,10,0,5.75
327,4,23,0,0,4,1973,10,0,5.75
328,4,23,0,0,4,1973,10,0,5.75
329,4,23,0,0,4,1973,10,0,5.75
330,4,23,0,0,4,1973,10,0,5.75
331,4,23,0,0,4,1973,10,0,5.75
332,4,23,0,0,4,1973,10,0,5.75
333,4,23,0,0,4,1973,10,0,5.75
334,4,23,0,0,4,1973,10,0,5.75
335,4,23,0,0,4,1973,10,0,5.75
336,4,23,0,0,4,1973,10,0,5.75
337,4,23,0,0,4,1973,10,0,5.75
338,4,23,0,0,4,1973,10,0,5.75
339,4,23,0,0,4,1973,10,0,5.75
340,4,23,0,0,4,1973,10,0,5.75
341,4,23,0,0,4,1973,10,0,5.75
342,4,23,0,0,4,1973,10,0,5.75
343,4,23,0,0,4,1973,10,0,5.75
344,4,23,0,0,4,1973,10,0,5.75
345,4,23,0,0,4,1973,10,0,5.75
346,4,23,0,0,4,1973,10,0,5.75
347,4,23,0,0,4,1973,10,0,5.75
348,4,23,0,0,4,1973,10,0,5.75
349,4,23,0,0,4,1973,10,0,5.75
350,4,24,0,0,4,1972,10,0,6.00
351,4,24,0,0,4,1972,10,0,6.00
352,4,24,0,0,4,1972,10,0,6.00
353,4,24,0,0,4,1972,10,0,6.00
354,4,24,0,0,4,1972,10,0,6.00
355,4,24,0,0,4,1972,10,0,6.00
356,4,24,0,0,4,1972,10,0,6.00
357,4,24,0,0,4,1972,10,0,6.00
358,4,24,0,0,4,1972,10,0,6.00
359,4,24,0,0,4,1972,10,0,6.00
360,4,24,0,0,4,1972,10,0,6.00
361,4,24,0,0,4,1972,10,0,6.00
362,4,24,0,0,4,1972,10,0,6.00
363,4,24,0,0,4,1972,10,0,6.00
364,4,24,0,0,4,1972,10,0,6.00
365,4,24,0,0,4,1972,10,0,6.00
366,4,24,0,0,4,1972,10,0,6.00
367,4,24,0,0,4,1972,10,0,6.00
368,4,24,0,0,4,1972,10,0,6.00
369,4,24,0,0,4,1972,10,0,6.00
370,4,24,0,0,4,1972,10,0,6.00
371,4,24,0,0,4,1972,10,0,6.00
372,4,24,0,0,4,1972,10,0,6.00
373,4,24,0,0,4,1972,10,0,6.00
374,4,24,0,0,4,1972,10,0,6.00
375,4,24,0,0,4,1972,10,0,6.00
376,4,24,0,0,4,1972,10,0,6.00
377,4,24,0,0,4,1972,10,0,6.00
378,4,24,0,0,4,1972,10,0,6.00
379,4,24,0,0,4,1972,10,0,6.00
380,4,24,0,0,4,1972,10,0,6.00
381,4,24,0,0,4,1972,10,0,6.00
382,4,24,0,0,4,1972,10,0,6.00
383,4,24,0,0,4,1972,10,0,6.00
384,4,24,0,0,4,1972,10,0,6.00
385,4,24,0,0,4,1972,10,0,6.00
386,4,24,0,0,4,1972,10,0,6.00
387,4,24,0,0,4,1972,10,0,6.00
388,4,24,0,0,4,1972,10,0,6.00
389,4,24,0,0,4,1972,10,0,6.00
390,4,24,0,0,4,1972,10,0,6.00
391,4,24,0,0,4,1972,10,0,6.00
392,4,24,0,0,4,1972,10,0,6.00
393,4,24,0,0,4,1972,10,0,6.00
394,4,24,0,0,4,1972,10,0,6.00
395,4,24,0,0,4,1972,10,0,6.00
396,4,24,0,0,4,1972,10,0,6.00
397,4,24,0,0,4,1972,10,0,6.00
398,4,24,0,0,4,1972,10,0,6.00
399,4,24,0,0,4,1972,10,0,6.00
400,4,24,0,0,4,1972,10,0,6.00
401,4,24,0,0,4,1972,10,0,6.00
402,4,24,0,0,4,1972,10,0,6.00
403,4,24,0,0,4,1972,10,0,6.00
404,4,24,0,0,4,1972,10,0,6.00
405,4,24,0,0,4,1972,10,0,6.00
406,4,24,0,0,4,1972,10,0,6.00
407,4,25,0,0,4,1971,10,0,6.25
408,4,25,0,0,4,1971,10,0,6.25
409,4,25,0,0,4,1971,10,0,6.25
410,4,25,0,0,4,1971,10,0,6.25
411,4,25,0,0,4,1971,10,0,6.25
412,4,25,0,0,4,1971,10,0,6.25
413,4,25,0,0,4,1971,10,0,6.25
414,4,25,0,0,4,1971,10,0,6.25
415,4,25,0,0,4,1971,10,0,6.25
416,4,25,0,0,4,1971,10,0,6.25
417,4,25,0,0,4,1971,10,0,6.25
418,4,25,0,0,4,1971,10,0,6.25
419,4,25,0,0,4,1971,10,0,6.25
420,4,25,0,0,4,1971,10,0,6.25
421,4,25,0,0,4,1971,10,0,6.25
422,4,25,0,0,4,1971,10,0,6.25
423,4,25,0,0,4,1971,10,0,6.25
424,4,25,0,0,4,1971,10,0,6.25
425,4,25,0,0,4,1971,10,0,6.25
426,4,25,0,0,4,1971,10,0,6.25
427,4,26,0,0,4,1970,10,0,6.50
428,4,26,0,0,4,1970,10,0,6.50
429,4,26,0,0,4,1970,10,0,6.50
430,4,26,0,0,4,1970,10,0,6.50
431,4,26,0,0,4,1970,10,0,6.50
432,4,26,0,0,4,1970,10,0,6.50
433,4,26,0,0,4,1970,10,0,6.50
434,4,26,0,0,4,1970,10,0,6.50
435,4,26,0,0,4,1970,10,0,6.50
436,4,26,0,0,4,1970,10,0,6.50
437,4,26,0,0,4,1970,10,0,6.50
438,4,26,0,0,4,1970,10,0,6.50
439,4,26,0,0,4,1970,10,0,6.50
440,4,26,0,0,4,1970,10,0,6.50
441,4,26,0,0,4,1970,10,0,6.50
442,4,26,0,0,4,1970,10,0,6.50
443,4,26,0,0,4,1970,10,0,6.50
444,4,26,0,0,4,1970,10,0,6.50
445,4,26,0,0,4,1970,10,0,6.50
446,4,26,0,0,4,1970,10,0,6.50
447,4,26,0,0,4,1970,10,0,6.50
448,4,26,0,0,4,1970,10,0,6.50
449,4,26,0,0,4,1970,10,0,6.50
450,4,26,0,0,4,1970,10,0,6.50
451,4,26,0,0,4,1970,10,0,6.50
452,4,26,0,0,4,1970,10,0,6.50
453,4,26,0,0,4,1970,10,0,6.50
454,4,26,0,0,4,1970,10,0,6.50
455,4,26,0,0,4,1970,10,0,6.50
456,4,26,0,0,4,1970,10,0,6.50
457,4,26,0,0,4,1970,10,0,6.50
458,4,26,0,0,4,1970,10,0,6.50
459,4,26,0,0,4,1970,10,0,6.50
460,4,26,0,0,4,1970,10,0,6.50
461,4,26,0,0,4,1970,10,0,6.50
462,4,27,0,0,4,1969,10,0,6.75
463,4,27,0,0,4,1969,10,0,6.75
464,4,27,0,0,4,1969,10,0,6.75
465,4,27,0,0,4,1969,10,0,6.75
466,4,27,0,0,4,1969,10,0,6.75
