step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds
0,4,1,0,0,4,1995,10,0
1,7,1,0,0,7,1998,10,0
2,7,1,0,0,7,1998,10,0
3,7,1,0,0,7,1998,10,0
4,7,1,0,0,7,1998,10,0
5,7,1,0,0,7,1998,10,0
6,7,2,0,0,7,1997,10,0
7,7,3,0,0,7,1996,10,0
8,7,4,0,0,7,1995,10,0
9,7,4,0,0,7,1995,10,0
10,7,4,0,0,7,1995,10,0
11,7,4,0,0,7,1995,10,0
12,7,4,0,0,7,1995,10,0
13,7,4,0,0,7,1995,10,0
14,7,4,0,0,7,1995,10,0
15,7,4,0,0,7,1995,10,0
16,7,4,0,0,7,1995,10,0
17,7,4,0,0,7,1995,10,0
18,7,4,0,0,7,1995,10,0
19,7,4,0,0,7,1995,10,0
20,7,4,0,0,7,1995,10,0
21,7,4,0,0,7,1995,10,0
22,7,4,0,0,7,1995,10,0
23,7,5,0,0,7,1994,10,0
24,7,5,0,0,7,1994,10,0
25,7,5,0,0,7,1994,10,0
26,7,5,0,0,7,1994,10,0
27,7,5,0,0,7,1994,10,0
28,7,5,0,0,7,1994,10,0
29,7,5,0,0,7,1994,10,0
30,7,6,0,0,7,1993,10,0
31,7,6,0,0,7,1993,10,0
32,7,7,0,0,7,1992,10,0
33,7,7,0,0,7,1992,10,0
34,7,7,0,0,7,1992,10,0
35,7,7,0,0,7,1992,10,0
36,7,7,0,0,7,1992,10,0
37,7,7,0,0,7,1992,10,0
38,7,7,0,0,7,1992,10,0
39,7,7,0,0,7,1992,10,0
40,7,7,0,0,7,1992,10,0
41,7,7,0,0,7,1992,10,0
42,7,7,0,0,7,1992,10,0
43,7,8,0,0,7,1991,10,0
44,7,8,0,0,7,1991,10,0
45,7,8,0,0,7,1991,10,0
46,7,8,0,0,7,1991,10,0
47,7,8,0,0,7,1991,10,0
48,7,8,0,0,7,1991,10,0
49,7,10,0,0,7,1989,10,0
50,7,10,0,0,7,1989,10,0
51,7,10,0,0,7,1989,10,0
52,7,10,0,0,7,1989,10,0
53,7,10,0,0,7,1989,10,0
54,7,10,0,0,7,1989,10,0
55,7,10,0,0,7,1989,10,0
56,7,10,0,0,7,1989,10,0
57,7,10,0,0,7,1989,10,0
58,7,10,0,0,7,1989,10,0
59,7,11,0,0,7,1988,10,0
60,7,11,0,0,7,1988,10,0
61,7,11,0,0,7,1988,10,0
62,7,11,0,0,7,1988,10,0
63,7,11,0,0,7,1988,10,0
64,7,11,0,0,7,1988,10,0
65,7,11,0,0,7,1988,10,0
66,7,11,0,0,7,1988,10,0
67,7,12,0,0,7,1987,10,0
68,7,12,0,0,7,1987,10,0
69,7,12,0,0,7,1987,10,0
70,7,12,0,0,7,1987,10,0
71,7,12,0,0,7,1987,10,0
72,7,12,0,0,7,1987,10,0
73,7,12,0,0,7,1987,10,0
74,7,12,0,0,7,1987,10,0
75,7,12,0,0,7,1987,10,0
76,7,12,0,0,7,1987,10,0
77,7,12,0,0,7,1987,10,0
78,7,12,0,0,7,1987,10,0
79,7,12,0,0,7,1987,10,0
80,7,12,0,0,7,1987,10,0
81,7,12,0,0,7,1987,10,0
82,7,12,0,0,7,1987,10,0
83,7,12,0,0,7,1987,10,0
84,7,12,0,0,7,1987,10,0
85,7,12,0,0,7,1987,10,0
86,7,12,0,0,7,1987,10,0
87,7,12,0,0,7,1987,10,0
88,7,12,0,0,7,1987,10,0
89,7,12,0,0,7,1987,10,0
90,7,12,0,0,7,1987,10,0
91,7,12,0,0,7,1987,10,0
92,7,12,0,0,7,1987,10,0
93,7,12,0,0,7,1987,10,0
94,7,12,0,0,7,1987,10,0
95,7,12,0,0,7,1987,10,0
96,7,12,0,0,7,1987,10,0
97,7,13,0,0,7,1986,10,0
98,7,13,0,0,7,1986,10,0
99,7,13,0,0,7,1986,10,0
100,7,13,0,0,7,1986,10,0
101,7,13,0,0,7,1986,10,0
102,7,13,0,0,7,1986,10,0
103,7,13,0,0,7,1986,10,0
104,7,13,0,0,7,1986,10,0
105,7,13,0,0,7,1986,10,0
106,7,13,0,0,7,1986,10,0
107,7,13,0,0,7,1986,10,0
108,7,13,0,0,7,1986,10,0
109,7,13,0,0,7,1986,10,0
110,7,13,0,0,7,1986,10,0
111,7,13,0,0,7,1986,10,0
112,7,13,0,0,7,1986,10,0
113,7,13,0,0,7,1986,10,0
114,7,13,0,0,7,1986,10,0
115,7,13,0,0,7,1986,10,0
116,7,13,0,0,7,1986,10,0
117,7,13,0,0,7,1986,10,0
118,7,13,0,0,7,1986,10,0
119,7,13,0,0,7,1986,10,0
120,7,13,0,0,7,1986,10,0
121,7,13,0,0,7,1986,10,0
122,7,13,0,0,7,1986,10,0
123,7,13,0,0,7,1986,10,0
124,7,13,0,0,7,1986,10,0
125,7,13,0,0,7,1986,10,0
126,7,13,0,0,7,1986,10,0
127,7,13,0,0,7,1986,10,0
128,7,13,0,0,7,1986,10,0
129,7,13,0,0,7,1986,10,0
130,7,13,0,0,7,1986,10,0
131,7,13,0,0,7,1986,10,0
132,7,13,0,0,7,1986,10,0
133,7,13,0,0,7,1986,10,0
134,7,14,0,0,7,1985,10,0
135,7,14,0,0,7,1985,10,0
136,7,14,0,0,7,1985,10,0
137,7,14,0,0,7,1985,10,0
138,7,15,0,0,7,1984,10,0
139,7,15,0,0,7,1984,10,0
140,7,15,0,0,7,1984,10,0
141,7,15,0,0,7,1984,10,0
142,7,15,0,0,7,1984,10,0
143,7,15,0,0,7,1984,10,0
144,7,15,0,0,7,1984,10,0
145,7,15,0,0,7,1984,10,0
146,7,15,0,0,7,1984,10,0
147,7,15,0,0,7,1984,10,0
148,7,16,0,0,7,1983,10,0
149,7,16,0,0,7,1983,10,0
150,7,16,0,0,7,1983,10,0
151,8,16,0,0,8,1984,10,0
152,8,16,0,0,8,1984,10,0
153,8,16,0,0,8,1984,10,0
154,8,16,0,0,8,1984,10,0
155,8,16,0,0,8,1984,10,0
156,8,16,0,0,8,1984,10,0
157,8,16,0,0,8,1984,10,0
158,8,16,0,0,8,1984,10,0
159,8,16,0,0,8,1984,10,0
160,8,16,0,0,8,1984,10,0
161,8,16,0,0,8,1984,10,0
162,8,16,0,0,8,1984,10,0
163,8,16,0,0,8,1984,10,0
164,8,16,0,0,8,1984,10,0
165,8,16,0,0,8,1984,10,0
166,8,16,0,0,8,1984,10,0
167,8,16,0,0,8,1984,10,0
168,8,16,0,0,8,1984,10,0
169,8,16,0,0,8,1984,10,0
170,8,16,0,0,8,1984,10,0
171,8,16,0,0,8,1984,10,0
172,8,16,0,0,8,1984,10,0
173,8,16,0,0,8,1984,10,0
174,8,16,0,0,8,1984,10,0
175,8,16,0,0,8,1984,10,0
176,8,16,0,0,8,1984,10,0
