step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds
0,4,0,0,0,4,1996,10,0
1,4,0,0,0,4,1996,10,0
2,4,0,0,0,4,1996,10,0
3,4,0,0,0,4,1996,10,0
4,4,2,0,0,4,1994,10,0
5,4,2,0,0,4,1994,10,0
6,4,2,0,0,4,1994,10,0
7,4,4,0,0,4,1992,10,0
8,4,4,0,0,4,1992,10,0
9,4,4,0,0,4,1992,10,0
10,4,4,0,0,4,1992,10,0
11,4,5,0,0,4,1991,10,0
12,4,5,0,0,4,1991,10,0
13,4,7,0,0,4,1989,10,0
14,4,7,0,0,4,1989,10,0
15,4,7,0,0,4,1989,10,0
16,4,7,0,0,4,1989,10,0
17,4,7,0,0,4,1989,10,0
18,4,7,0,0,4,1989,10,0
19,4,7,0,0,4,1989,10,0
20,4,7,0,0,4,1989,10,0
21,4,7,0,0,4,1989,10,0
22,4,7,0,0,4,1989,10,0
23,4,7,0,0,4,1989,10,0
24,4,7,0,0,4,1989,10,0
25,4,7,0,0,4,1989,10,0
26,4,7,0,0,4,1989,10,0
27,4,7,0,0,4,1989,10,0
28,4,7,0,0,4,1989,10,0
29,4,7,0,0,4,1989,10,0
30,4,7,0,0,4,1989,10,0
31,4,7,0,0,4,1989,10,0
32,4,7,0,0,4,1989,10,0
33,4,7,0,0,4,1989,10,0
34,4,7,0,0,4,1989,10,0
35,4,7,0,0,4,1989,10,0
36,4,8,0,0,4,1988,10,0
37,4,8,0,0,4,1988,10,0
38,4,8,0,0,4,1988,10,0
39,4,8,0,0,4,1988,10,0
40,4,8,0,0,4,1988,10,0
41,4,8,0,0,4,1988,10,0
42,4,8,0,0,4,1988,10,0
43,4,8,0,0,4,1988,10,0
44,4,8,0,0,4,1988,10,0
45,4,9,0,0,4,1987,10,0
46,4,9,0,0,4,1987,10,0
47,4,9,0,0,4,1987,10,0
48,4,10,0,0,4,1986,10,0
49,4,10,0,0,4,1986,10,0
50,4,11,0,0,4,1985,10,0
51,4,11,0,0,4,1985,10,0
52,4,11,0,0,4,1985,10,0
53,4,11,0,0,4,1985,10,0
54,4,11,0,0,4,1985,10,0
55,4,11,0,0,4,1985,10,0
56,4,11,0,0,4,1985,10,0
57,4,11,0,0,4,1985,10,0
58,4,12,0,0,4,1984,10,0
59,4,12,0,0,4,1984,10,0
60,4,12,0,0,4,1984,10,0
61,4,12,0,0,4,1984,10,0
62,4,12,0,0,4,1984,10,0
63,4,12,0,0,4,1984,10,0
64,4,12,0,0,4,1984,10,0
65,4,12,0,0,4,1984,10,0
66,4,12,0,0,4,1984,10,0
67,4,12,0,0,4,1984,10,0
68,4,12,0,0,4,1984,10,0
69,4,12,0,0,4,1984,10,0
70,4,12,0,0,4,1984,10,0
71,4,12,0,0,4,1984,10,0
72,4,12,0,0,4,1984,10,0
73,4,13,0,0,4,1983,10,0
74,4,13,0,0,4,1983,10,0
75,4,13,0,0,4,1983,10,0
76,4,13,0,0,4,1983,10,0
77,4,13,0,0,4,1983,10,0
78,4,13,0,0,4,1983,10,0
79,4,13,0,0,4,1983,10,0
80,4,13,0,0,4,1983,10,0
81,4,13,0,0,4,1983,10,0
82,4,13,0,0,4,1983,10,0
83,4,13,0,0,4,1983,10,0
84,4,13,0,0,4,1983,10,0
85,4,13,0,0,4,1983,10,0
86,4,13,0,0,4,1983,10,0
87,4,13,0,0,4,1983,10,0
88,4,13,0,0,4,1983,10,0
89,4,13,0,0,4,1983,10,0
90,4,13,0,0,4,1983,10,0
91,4,13,0,0,4,1983,10,0
92,4,13,0,0,4,1983,10,0
93,4,13,0,0,4,1983,10,0
94,4,13,0,0,4,1983,10,0
95,4,13,0,0,4,1983,10,0
96,4,13,0,0,4,1983,10,0
97,4,13,0,0,4,1983,10,0
98,4,13,0,0,4,1983,10,0
99,4,14,0,0,4,1982,10,0
100,4,14,0,0,4,1982,10,0
101,4,14,0,0,4,1982,10,0
102,4,14,0,0,4,1982,10,0
103,4,14,0,0,4,1982,10,0
104,4,14,0,0,4,1982,10,0
105,4,14,0,0,4,1982,10,0
106,4,14,0,0,4,1982,10,0
107,4,14,0,0,4,1982,10,0
108,4,14,0,0,4,1982,10,0
109,4,14,0,0,4,1982,10,0
110,4,14,0,0,4,1982,10,0
111,4,15,0,0,4,1981,10,0
112,5,15,0,0,4,1980,10,0
113,5,15,0,0,4,1980,10,0
114,5,15,0,0,4,1980,10,0
115,5,15,0,0,4,1980,10,0
116,5,15,0,0,4,1980,10,0
117,5,15,0,0,4,1980,10,0
118,5,17,0,0,4,1978,10,0
119,5,17,0,0,4,1978,10,0
120,5,17,0,0,4,1978,10,0
121,5,17,0,0,4,1978,10,0
122,5,17,0,0,4,1978,10,0
123,5,17,0,0,4,1978,10,0
124,5,17,0,0,4,1978,10,0
125,5,17,0,0,4,1978,10,0
126,5,17,0,0,4,1978,10,0
127,5,17,0,0,4,1978,10,0
128,5,17,0,0,4,1978,10,0
129,5,17,0,0,4,1978,10,0
130,5,17,0,0,4,1978,10,0
131,5,17,0,0,4,1978,10,0
132,5,17,0,0,4,1978,10,0
133,5,17,0,0,4,1978,10,0
134,5,17,0,0,4,1978,10,0
135,5,17,0,0,4,1978,10,0
136,5,17,0,0,4,1978,10,0
137,5,17,0,0,4,1978,10,0
138,5,17,0,0,4,1978,10,0
139,5,17,0,0,4,1978,10,0
140,5,18,0,0,4,1977,10,0
141,5,18,0,0,4,1977,10,0
142,5,18,0,0,4,1977,10,0
143,5,18,0,0,4,1977,10,0
144,5,18,0,0,4,1977,10,0
145,5,18,0,0,4,1977,10,0
146,5,18,0,0,4,1977,10,0
147,5,18,0,0,4,1977,10,0
148,5,18,0,0,4,1977,10,0
149,6,17,0,0,4,1977,10,0
150,7,17,0,0,5,1976,10,0
151,7,17,0,0,5,1976,10,0
152,7,17,0,0,5,1976,10,0
153,7,18,0,0,5,1975,10,0
154,7,18,0,0,5,1975,10,0
155,7,18,0,0,5,1975,10,0
156,7,18,0,0,5,1975,10,0
157,7,18,0,0,5,1975,10,0
158,7,18,0,0,5,1975,10,0
159,7,19,0,0,5,1974,10,0
160,7,19,0,0,5,1974,10,0
161,7,19,0,0,5,1974,10,0
162,7,19,0,0,5,1974,10,0
163,7,20,0,0,5,1973,10,0
164,7,20,0,0,5,1973,10,0
165,7,20,0,0,5,1973,10,0
166,7,20,0,0,5,1973,10,0
