step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds
0,4,0,0,0,4,1996,10,0
1,6,1,0,0,6,1997,10,0
2,6,2,0,0,6,1996,10,0
3,6,2,0,0,6,1996,10,0
4,6,2,0,0,6,1996,10,0
5,6,2,0,0,6,1996,10,0
6,6,2,0,0,6,1996,10,0
7,6,2,0,0,6,1996,10,0
8,6,2,0,0,6,1996,10,0
9,6,2,0,0,6,1996,10,0
10,6,2,0,0,6,1996,10,0
11,6,2,0,0,6,1996,10,0
12,6,2,0,0,6,1996,10,0
13,6,2,0,0,6,1996,10,0
14,6,2,0,0,6,1996,10,0
15,6,2,0,0,6,1996,10,0
16,6,2,0,0,6,1996,10,0
17,6,2,0,0,6,1996,10,0
18,6,2,0,0,6,1996,10,0
19,6,4,0,0,6,1994,10,0
20,6,4,0,0,6,1994,10,0
21,6,4,0,0,6,1994,10,0
22,6,4,0,0,6,1994,10,0
23,6,4,0,0,6,1994,10,0
24,6,4,0,0,6,1994,10,0
25,6,4,0,0,6,1994,10,0
26,6,4,0,0,6,1994,10,0
27,6,4,0,0,6,1994,10,0
28,6,4,0,0,6,1994,10,0
29,6,4,0,0,6,1994,10,0
30,6,4,0,0,6,1994,10,0
31,6,4,0,0,6,1994,10,0
32,6,4,0,0,6,1994,10,0
33,6,4,0,0,6,1994,10,0
34,6,4,0,0,6,1994,10,0
35,6,4,0,0,6,1994,10,0
36,6,4,0,0,6,1994,10,0
37,6,4,0,0,6,1994,10,0
38,6,4,0,0,6,1994,10,0
39,6,4,0,0,6,1994,10,0
40,6,5,0,0,6,1993,10,0
41,6,5,0,0,6,1993,10,0
42,6,5,0,0,6,1993,10,0
43,6,5,0,0,6,1993,10,0
44,6,5,0,0,6,1993,10,0
45,6,6,0,0,6,1992,10,0
46,6,6,0,0,6,1992,10,0
47,6,6,0,0,6,1992,10,0
48,6,6,0,0,6,1992,10,0
49,6,6,0,0,6,1992,10,0
50,6,6,0,0,6,1992,10,0
51,8,6,0,0,8,1994,10,0
52,8,7,0,0,8,1993,10,0
53,8,7,0,0,8,1993,10,0
54,8,7,0,0,8,1993,10,0
55,8,7,0,0,8,1993,10,0
56,8,7,0,0,8,1993,10,0
57,8,8,0,0,8,1992,10,0
58,8,8,0,0,8,1992,10,0
59,8,8,0,0,8,1992,10,0
60,8,8,0,0,8,1992,10,0
61,8,8,0,0,8,1992,10,0
62,8,8,0,0,8,1992,10,0
63,8,8,0,0,8,1992,10,0
64,8,8,0,0,8,1992,10,0
65,8,8,0,0,8,1992,10,0
66,8,8,0,0,8,1992,10,0
67,8,8,0,0,8,1992,10,0
68,8,8,0,0,8,1992,10,0
69,8,8,0,0,8,1992,10,0
70,9,8,0,0,9,1991,10,0
71,9,8,0,0,9,1991,10,0
72,9,8,0,0,9,1991,10,0
73,9,8,0,0,9,1991,10,0
74,9,8,0,0,9,1991,10,0
75,9,8,0,0,9,1991,10,0
76,9,8,0,0,9,1991,10,0
77,9,9,0,0,9,1990,10,0
78,9,10,0,0,9,1989,10,0
79,9,10,0,0,9,1989,10,0
80,9,10,0,0,9,1989,10,0
81,9,10,0,0,9,1989,10,0
82,9,10,0,0,9,1989,10,0
83,9,10,0,0,9,1989,10,0
84,9,10,0,0,9,1989,10,0
85,9,12,0,0,9,1987,10,0
86,9,13,0,0,9,1986,10,0
87,9,13,0,0,9,1986,10,0
88,9,13,0,0,9,1986,10,0
89,9,13,0,0,9,1986,10,0
90,9,13,0,0,9,1986,10,0
91,9,13,0,0,9,1986,10,0
92,9,13,0,0,9,1986,10,0
93,9,13,0,0,9,1986,10,0
94,9,13,0,0,9,1986,10,0
95,9,13,0,0,9,1986,10,0
96,9,13,0,0,9,1986,10,0
97,9,13,0,0,9,1986,10,0
98,9,13,0,0,9,1986,10,0
99,9,13,0,0,9,1986,10,0
100,9,13,0,0,9,1986,10,0
101,11,13,0,0,11,1988,10,0
102,11,13,0,0,11,1988,10,0
103,11,13,0,0,11,1988,10,0
104,11,13,0,0,11,1988,10,0
105,11,13,0,0,11,1988,10,0
106,11,13,0,0,11,1988,10,0
107,11,13,0,0,11,1988,10,0
108,11,13,0,0,11,1988,10,0
109,11,13,0,0,11,1988,10,0
110,11,13,0,0,11,1988,10,0
111,12,12,0,0,12,1988,10,0
112,12,12,0,0,12,1988,10,0
113,12,12,0,0,12,1988,10,0
114,12,12,0,0,12,1988,10,0
115,12,12,0,0,12,1988,10,0
116,12,12,0,0,12,1988,10,0
117,12,13,0,0,12,1987,10,0
118,12,14,0,0,12,1986,10,0
119,12,14,0,0,12,1986,10,0
120,12,14,0,0,12,1986,10,0
121,12,14,0,0,12,1986,10,0
122,12,14,0,0,12,1986,10,0
123,12,14,0,0,12,1986,10,0
124,12,15,0,0,12,1985,10,0
125,12,15,0,0,12,1985,10,0
126,12,15,0,0,12,1985,10,0
127,12,15,0,0,12,1985,10,0
128,12,15,0,0,12,1985,10,0
129,12,15,0,0,12,1985,10,0
130,12,16,0,0,12,1984,10,0
131,12,16,0,0,12,1984,10,0
132,12,16,0,0,12,1984,10,0
133,12,16,0,0,12,1984,10,0
134,12,16,0,0,12,1984,10,0
135,12,16,0,0,12,1984,10,0
136,12,16,0,0,12,1984,10,0
137,12,16,0,0,12,1984,10,0
